Player ID,Player,Nationality,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,total_goals,total_assists,fatigue_level
183288,Luke Shaw,England,Man United,Left Back,25,2020/21,83,Ankle injury,2020-07-14,2020-09-11,59.0,2930.0,35.0,10.0,0.0,1.0,4.0,56.63
183288,Luke Shaw,England,Man United,Left Back,25,2020/21,83,Hamstring injury,2020-11-07,2020-12-07,30.0,2930.0,35.0,10.0,0.0,1.0,4.0,56.63
183288,Luke Shaw,England,Man United,Left Back,26,2021/22,83,Head injury,2021-11-20,2021-12-07,17.0,3739.0,47.0,13.0,0.0,1.0,7.0,72.27
183288,Luke Shaw,England,Man United,Left Back,26,2021/22,83,Hamstring injury,2022-01-18,2022-01-31,13.0,3739.0,47.0,13.0,0.0,1.0,7.0,72.27
183288,Luke Shaw,England,Man United,Left Back,26,2021/22,83,Coronavirus,2022-03-02,2022-03-16,14.0,3739.0,47.0,13.0,0.0,1.0,7.0,72.27
183288,Luke Shaw,England,Man United,Left Back,26,2021/22,83,Leg injury,2022-04-02,2022-05-13,41.0,3739.0,47.0,13.0,0.0,1.0,7.0,72.27
183288,Luke Shaw,England,Man United,Left Back,27,2022/23,83,unknown injury,2023-04-06,2023-04-19,13.0,1964.0,27.0,10.0,0.0,0.0,4.0,37.96
477758,Aaron Wan-Bissaka,England,Man United,Right Back,22,2019/20,80,Tonsillitis,2019-09-27,2019-10-19,22.0,3201.0,36.0,7.0,0.0,0.0,3.0,61.87
477758,Aaron Wan-Bissaka,England,Man United,Right Back,23,2021/22,80,Hand injury,2021-11-29,2021-12-04,5.0,4541.0,52.0,7.0,1.0,1.0,5.0,87.77
477758,Aaron Wan-Bissaka,England,Man United,Right Back,23,2021/22,80,Ill,2022-01-14,2022-01-23,9.0,4541.0,52.0,7.0,1.0,1.0,5.0,87.77
477758,Aaron Wan-Bissaka,England,Man United,Right Back,24,2022/23,80,Back problems,2022-09-12,2022-10-25,43.0,742.0,10.0,0.0,0.0,0.0,0.0,14.34
74683,Nemanja Matic,Serbia,Man United,Defensive Midfielder,31,2019/20,80,unknown injury,2019-10-20,2019-12-11,52.0,1819.0,22.0,5.0,0.0,0.0,0.0,35.16
74683,Nemanja Matic,Serbia,Man United,Defensive Midfielder,32,2021/22,80,Shin injury,2022-02-10,2022-02-18,8.0,1795.0,38.0,3.0,0.0,0.0,3.0,34.69
191614,Fred,Brazil,Man United,Central Midfielder,27,2021/22,79,Coronavirus,2022-02-07,2022-02-14,7.0,3761.0,49.0,8.0,0.0,3.0,4.0,72.69
191614,Fred,Brazil,Man United,Central Midfielder,27,2021/22,79,Hip flexor problems,2022-04-09,2022-04-30,21.0,3761.0,49.0,8.0,0.0,3.0,4.0,72.69
240306,Bruno Fernandes,Portugal,Man United,Attacking Midfielder,25,2021/22,88,Ill,2022-03-12,2022-03-14,2.0,4576.0,56.0,8.0,0.0,19.0,17.0,88.44
258923,Marcus Rashford,England,Man United,Left winger,22,2019/20,85,Back injury,2020-01-16,2020-06-05,141.0,3758.0,48.0,5.0,0.0,20.0,9.0,72.63
258923,Marcus Rashford,England,Man United,Left winger,23,2021/22,85,Shoulder injury,2021-07-14,2021-10-15,93.0,3058.0,45.0,3.0,0.0,10.0,10.0,59.1
258923,Marcus Rashford,England,Man United,Left winger,24,2021/22,85,Dead leg,2022-01-13,2022-01-17,4.0,3058.0,45.0,3.0,0.0,10.0,10.0,59.1
258923,Marcus Rashford,England,Man United,Left winger,24,2021/22,85,bronchitis,2022-05-04,2022-05-19,15.0,3058.0,45.0,3.0,0.0,10.0,10.0,59.1
258923,Marcus Rashford,England,Man United,Left winger,24,2022/23,85,Muscle injury,2023-04-08,2023-04-19,11.0,2386.0,39.0,4.0,0.0,11.0,5.0,46.12
258923,Marcus Rashford,England,Man United,Left winger,25,2022/23,85,Leg injury,2023-05-11,2023-05-24,13.0,2386.0,39.0,4.0,0.0,11.0,5.0,46.12
532826,Mason Greenwood,England,Man United,Right winger,18,2019/20,78,Tonsillitis,2019-09-20,2019-09-23,3.0,920.0,24.0,0.0,0.0,7.0,2.0,17.78
532826,Mason Greenwood,England,Man United,Right winger,19,2020/21,78,bruise,2020-10-17,2020-11-23,37.0,2320.0,40.0,1.0,0.0,11.0,3.0,44.84
532826,Mason Greenwood,England,Man United,Right winger,20,2021/22,78,Coronavirus,2021-11-19,2021-11-27,8.0,3502.0,52.0,3.0,0.0,14.0,5.0,67.68
319301,Daniel James,Wales,Man United,Right winger,22,2019/20,77,Knock,2020-02-28,2020-03-07,8.0,1672.0,21.0,3.0,0.0,3.0,6.0,32.32
319301,Daniel James,Wales,Man United,Right winger,23,2020/21,77,unknown injury,2021-04-30,2021-05-21,21.0,1461.0,28.0,3.0,0.0,3.0,0.0,28.24
182877,Anthony Martial,France,Man United,Center Forward,24,2019/20,79,Hamstring strain,2019-08-25,2019-10-20,56.0,2214.0,34.0,2.0,0.0,12.0,5.0,42.79
182877,Anthony Martial,France,Man United,Center Forward,25,2020/21,79,Torn knee ligaments,2021-03-29,2021-08-02,126.0,3204.0,43.0,0.0,1.0,16.0,15.0,61.93
182877,Anthony Martial,France,Man United,Center Forward,26,2021/22,79,Fitness,2021-10-15,2021-10-29,14.0,1412.0,27.0,0.0,0.0,4.0,2.0,27.29
